Mo,Da,Hr,Space_Heating_cz1_themrs,Water_Heating_cz1_therms,Space_Heating_cz1_kWh,Water_Heating_cz1_kWh,Space_Heating_cz6_kWh,Space_Heating_cz6_kWh,Water_Heating_cz6_kWh
1,14,22,0.034275,0.0720014,0.022814,0,0,0,0
1,14,23,0.0409142,0.00331349,0.027331,0,0,0,0
1,14,24,0,0.000941398,0,0,0,0,0
1,15,1,0,0,0,0,0,0,0
1,15,2,0,0,0,0,0,0,0
1,15,3,0,0,0,0,0,0,0
1,15,4,0,0,0,0,0,0,0
1,15,5,0,0,0,0,0,0,0
1,15,6,0,0,0,0,0,0,0
1,15,7,0.0452133,0,0.0291295,0,0,0,0
1,15,8,0.203042,0,0.136802,0,0.010085,0,0
1,15,9,0.0872617,0.00360643,0.0585445,0,0,0,0
1,15,10,0.0770743,0,0.0517304,0,0,0,0
1,15,11,0.0545329,0,0.0365085,0,0,0,0
1,15,12,0.0222197,0,0.0146421,0,0,0,0
1,15,13,0.0159648,0.024556,0.0104366,0,0,0,0
1,15,14,0.0376185,0.00401556,0.0251215,0,0,0,0
1,15,15,0.0389129,0,0.0260069,0,0,0,0
1,15,16,0.0280299,0,0.0186403,0,0,0,0
1,15,17,0.040181,0,0.0268752,0,0,0,0
1,15,18,0.0375213,0,0.0250739,0,0,0,0
1,15,19,0.0348102,0.0236802,0.0232225,2.17564,0,0,0
1,15,20,0.0337115,0,0.0223509,0.545692,0,0,0
1,15,21,0.0351112,0,0.0232875,0,0,0,0
1,15,22,0.0239134,0.0388357,0.0156973,0,0,0,1.57546
1,15,23,0.0363156,0.0362669,0.0241489,0,0,0,1.67279
1,15,24,0,0.0434024,0,0,0,0,0
1,16,1,0,0.00110048,0,0,0,0,0
1,16,2,0,0,0,0,0,0,0
1,16,3,0,0.00143678,0,0,0,0,0
1,16,4,0,0.000550241,0,0,0,0,0
1,16,5,0,0,0,0,0,0,0
1,16,6,0,0.0015439,0,0,0,0,0
1,16,7,0.132154,0.00121034,0.0879426,0,0,0,0
1,16,8,0.252627,0.217375,0.170496,3.00088,0.0289118,0,2.70079
1,16,9,0.142507,0.0198615,0.0958927,1.79504,0.010456,0,0.542597
1,16,10,0.113611,0.00375011,0.0763813,0,0.000529282,0,0
1,16,11,0.0934664,0.00915651,0.0627825,0,0,0,0
1,16,12,0.0546461,0.0122395,0.0365152,0,0,0,0
1,16,13,0.0439086,0.0162723,0.0292671,0,0,0,0
1,16,14,0.0396448,0.00640086,0.0263973,0,0,0,0
1,16,15,0.0481597,0.0130307,0.0321764,0,0,0,0
1,16,16,0.0513458,0.00987195,0.0343482,0,0,0,0
1,16,17,0.0550865,0.0127607,0.0368954,0,0,0,0
1,16,18,0.0484599,0.0210794,0.0324217,0,0,0,0
1,16,19,0.0431179,0.00943338,0.0288177,0,0,0,0
1,16,20,0.0401194,0.0205756,0.026802,0,0,0,0
1,16,21,0.0424418,0.0241704,0.0284006,0,0,0,0
1,16,22,0.0482456,0.0220615,0.0322538,2.5652,0,0,0
1,16,23,0.0607196,0.0259412,0.0406717,0,0,0,2.55075
1,16,24,0,0.0116917,0,0,0,0,0.257876
1,17,1,0,0,0,0,0,0,0
1,17,2,0,0,0,0,0,0,0
1,17,3,0,0,0,0,0,0,0
1,17,4,0,0,0,0,0,0,0
1,17,5,0,0,0,0,0,0,0
1,17,6,0,0,0,0,0,0,0
1,17,7,0.129169,0,0.0856735,0,0,0,0
1,17,8,0.254262,0.00892845,0.171363,0,0.057464,0,0
1,17,9,0.149951,0,0.10092,0,0.00969991,0,0
1,17,10,0.12081,0.00316239,0.0812884,0,0.000628608,0,0
1,17,11,0.0895389,0,0.0601589,0,0,0,0
1,17,12,0.0704867,0.0700762,0.0473098,0,0,0,0
1,17,13,0.0588741,0,0.0394924,0,0,0,0
1,17,14,0.0495803,0.0041258,0.0332125,0,0,0,0
1,17,15,0.0423283,0.00777049,0.0283117,0,0,0,0
1,17,16,0.0330457,0.00859541,0.0220332,0,0,0,0
1,17,17,0.0486629,0.00199366,0.0326234,0,0,0,0
1,17,18,0.0458528,0,0.0307219,0,0,0,0
1,17,19,0.0421476,0,0.0282132,0,0,0,0
1,17,20,0.0391175,0.0103764,0.0261623,0,0,0,0
1,17,21,0.0395706,0.0524395,0.0263928,2.6497,0,0,0
1,17,22,0.0428819,0,0.0285987,0,0,0,0
1,17,23,0.0496229,0,0.0331662,0,0,0,0
1,17,24,0,0,0,0,0,0,0
1,18,1,0,0.00446731,0,0,0,0,0
1,18,2,0,0,0,0,0,0,0
1,18,3,0,0,0,0,0,0,0
1,18,4,0,0,0,0,0,0,0
1,18,5,0,0,0,0,0,0,0
1,18,6,0,0,0,0,0,0,0
1,18,7,0.0638822,0,0.0414915,0,0,0,0
1,18,8,0.213013,0.000550061,0.143361,0,0.0763124,0,0
